sc67b3p120

NE black even
5, 55, 60, 55, (165) {total: 335} {consumed: 3} glider(d10)(ph2)(♗⬀⓪)
5, 88, 39, 39, (67) {total: 233} {consumed: 2} glider(d10)(ph0)(♗⬀⓪)
5, 88, 56, 39, (334) {total: 517} {consumed: 5} glider(d12)(ph2)(♗⬀⓪)
5, 90, 56, 39, (90) {total: 275} {consumed: 3} glider(d12)(ph0)(♗⬀⓪)
5, 92, 56, 39, (90) {total: 277} {consumed: 3} glider(d12)(ph2)(♗⬀⓪)
5, 174, 55, 140, (524) {total: 893} {consumed: 7} glider(d18)(ph2)(♗⬀⓪)
5, 188, 74, 60, (67) {total: 389} {consumed: 3} glider(d14)(ph0)(♗⬀⓪)
5, 196, 60, 73, (67) {total: 396} {consumed: 3} glider(d2)(ph0)(♗⬀⓪)
5, 211, 64, 92, (67) {total: 434} {consumed: 3} glider(d16)(ph0)(♗⬀⓪)
5, 213, 39, 125, (506) {total: 883} {consumed: 8} glider(d12)(ph0)(♗⬀⓪)
5, 213, 98, 106, (253) {total: 670} {consumed: 6} glider(d24)(ph2)(♗⬀⓪)
5, 214, 52, 40, (67) {total: 373} {consumed: 3} glider(d18)(ph2)(♗⬀⓪)
5, 217, 164, 117, (226) {total: 724} {consumed: 7} glider(d0)(ph2)(♗⬀⓪)
5, 217, 164, 136, (67) {total: 584} {consumed: 5} glider(d0)(ph2)(♗⬀⓪)
5, 217, 168, 129, (570) {total: 1084} {consumed: 10} glider(d10)(ph0)(♗⬀⓪)
5, 217, 207, 108, (81) {total: 613} {consumed: 5} glider(d20)(ph2)(♗⬀⓪)
5, 218, 85, 42, (223) {total: 568} {consumed: 5} glider(d14)(ph2)(♗⬀⓪)
5, 219, 76, 166, (67) {total: 528} {consumed: 4} glider(d20)(ph2)(♗⬀⓪)
5, 219, 83, 69, (67) {total: 438} {consumed: 3} glider(d-2)(ph2)(♗⬀⓪)
5, 220, 229, 163, (67) {total: 679} {consumed: 6} glider(d0)(ph0)(♗⬀⓪)
5, 224, 145, 230, (67) {total: 666} {consumed: 6} glider(d-6)(ph2)(♗⬀⓪)
5, 224, 158, 202, (67) {total: 651} {consumed: 6} glider(d-4)(ph2)(♗⬀⓪)
5, 224, 157, 247, (67) {total: 695} {consumed: 6} glider(d4)(ph0)(♗⬀⓪)
5, 225, 49, 76, (77) {total: 427} {consumed: 4} glider(d28)(ph2)(♗⬀⓪)
5, 233, 88, 227, (67) {total: 615} {consumed: 5} glider(d14)(ph0)(♗⬀⓪)
5, 234, 177, 56, (253) {total: 720} {consumed: 6} glider(d12)(ph0)(♗⬀⓪)
5, 236, 211, 238, (67) {total: 752} {consumed: 6} glider(d16)(ph2)(♗⬀⓪)
5, 249, 84, 117, (109) {total: 559} {consumed: 5} glider(d34)(ph2)(♗⬀⓪)
5, 249, 126, 38, (139) {total: 552} {consumed: 5} glider(d16)(ph0)(♗⬀⓪)
5, 249, 146, 129, (306) {total: 830} {consumed: 7} glider(d34)(ph0)(♗⬀⓪)
5, 249, 146, 158, (113) {total: 666} {consumed: 6} glider(d34)(ph0)(♗⬀⓪)
5, 249, 172, 222, (414) {total: 1057} {consumed: 9} glider(d20)(ph0)(♗⬀⓪)
5, 249, 176, 96, (70) {total: 591} {consumed: 5} glider(d16)(ph2)(♗⬀⓪)
5, 254, 150, 209, (153) {total: 766} {consumed: 7} glider(d-2)(ph2)(♗⬀⓪)
6, 36, 195, 51, (402) {total: 684} {consumed: 6} glider(d-14)(ph0)(♗⬀⓪)
6, 110, 246, 36, (299) {total: 691} {consumed: 7} glider(d-20)(ph2)(♗⬀⓪)
6, 115, 135, 59, (67) {total: 376} {consumed: 3} glider(d-10)(ph0)(♗⬀⓪)
6, 116, 64, 58, (67) {total: 305} {consumed: 3} glider(d-8)(ph0)(♗⬀⓪)
6, 120, 149, 38, (67) {total: 374} {consumed: 3} glider(d2)(ph2)(♗⬀⓪)
6, 124, 102, 41, (67) {total: 334} {consumed: 3} glider(d6)(ph2)(♗⬀⓪)
6, 125, 84, 39, (389) {total: 637} {consumed: 6} glider(d4)(ph2)(♗⬀⓪)
6, 127, 202, 46, (182) {total: 557} {consumed: 5} glider(d26)(ph0)(♗⬀⓪)
6, 127, 222, 254, (67) {total: 670} {consumed: 5} glider(d28)(ph0)(♗⬀⓪)
6, 131, 107, 70, (352) {total: 660} {consumed: 6} glider(d-8)(ph0)(♗⬀⓪)
6, 131, 117, 41, (67) {total: 356} {consumed: 3} glider(d-2)(ph0)(♗⬀⓪)
6, 131, 97, 38, (67) {total: 333} {consumed: 3} glider(d-10)(ph2)(♗⬀⓪)
6, 140, 224, 160, (394) {total: 918} {consumed: 8} glider(d10)(ph0)(♗⬀⓪)
6, 144, 123, 77, (400) {total: 744} {consumed: 7} glider(d-10)(ph2)(♗⬀⓪)
