sc35/67b3p46

NE black even
5, 67, 58, 46, (130) {total: 301} {consumed: 7} glider(d28)(ph1)(♗⬀①)
0, 91, 74, 41, (97) {total: 303} {consumed: 5} glider(d10)(ph3)(♗⬀①)
0, 100, 54, 82, (67) {total: 303} {consumed: 6} glider(d10)(ph1)(♗⬀①)
1, 104, 78, 55, (67) {total: 304} {consumed: 5} glider(d12)(ph1)(♗⬀①)
0, 48, 53, 117, (87) {total: 305} {consumed: 9} glider(d-8)(ph1)(♗⬀①)
0, 107, 78, 55, (67) {total: 307} {consumed: 4} glider(d24)(ph3)(♗⬀①)
1, 105, 54, 82, (67) {total: 308} {consumed: 7} glider(d0)(ph3)(♗⬀①)
2, 38, 62, 50, (160) {total: 310} {consumed: 6} glider(d22)(ph1)(♗⬀①)
1, 53, 53, 117, (87) {total: 310} {consumed: 10} glider(d-18)(ph3)(♗⬀①)
0, 99, 74, 41, (97) {total: 311} {consumed: 5} glider(d12)(ph3)(♗⬀①)
0, 108, 54, 82, (67) {total: 311} {consumed: 6} glider(d12)(ph1)(♗⬀①)
5, 35, 77, 53, (146) {total: 311} {consumed: 8} glider(d-10)(ph1)(♗⬀①)
1, 112, 78, 55, (67) {total: 312} {consumed: 5} glider(d14)(ph1)(♗⬀①)
0, 56, 53, 117, (87) {total: 313} {consumed: 9} glider(d-6)(ph1)(♗⬀①)
0, 115, 78, 55, (67) {total: 315} {consumed: 4} glider(d26)(ph3)(♗⬀①)
2, 120, 74, 51, (71) {total: 316} {consumed: 8} glider(d-14)(ph1)(♗⬀①)
1, 44, 89, 117, (67) {total: 317} {consumed: 7} glider(d2)(ph3)(♗⬀①)
1, 61, 53, 117, (87) {total: 318} {consumed: 10} glider(d-16)(ph3)(♗⬀①)
0, 107, 74, 41, (97) {total: 319} {consumed: 5} glider(d14)(ph3)(♗⬀①)
0, 116, 54, 82, (67) {total: 319} {consumed: 6} glider(d14)(ph1)(♗⬀①)
2, 53, 117, 82, (67) {total: 319} {consumed: 9} glider(d-8)(ph3)(♗⬀①)
1, 120, 78, 55, (67) {total: 320} {consumed: 5} glider(d16)(ph1)(♗⬀①)
0, 64, 53, 117, (87) {total: 321} {consumed: 9} glider(d-4)(ph1)(♗⬀①)
5, 78, 58, 115, (71) {total: 322} {consumed: 5} glider(d30)(ph3)(♗⬀①)
0, 35, 98, 67, (122) {total: 322} {consumed: 6} glider(d2)(ph3)(♗⬀①)
0, 123, 78, 55, (67) {total: 323} {consumed: 4} glider(d28)(ph3)(♗⬀①)
1, 121, 54, 82, (67) {total: 324} {consumed: 7} glider(d4)(ph3)(♗⬀①)
1, 69, 53, 117, (87) {total: 326} {consumed: 10} glider(d-14)(ph3)(♗⬀①)
4, 127, 78, 55, (67) {total: 327} {consumed: 4} glider(d30)(ph3)(♗⬀①)
0, 115, 74, 41, (97) {total: 327} {consumed: 5} glider(d16)(ph3)(♗⬀①)
0, 124, 54, 82, (67) {total: 327} {consumed: 6} glider(d16)(ph1)(♗⬀①)
5, 124, 63, 73, (67) {total: 327} {consumed: 7} glider(d16)(ph3)(♗⬀①)
5, 106, 112, 42, (67) {total: 327} {consumed: 9} glider(d-16)(ph1)(♗⬀①)
1, 128, 78, 55, (67) {total: 328} {consumed: 5} glider(d18)(ph1)(♗⬀①)
0, 72, 53, 117, (87) {total: 329} {consumed: 9} glider(d-2)(ph1)(♗⬀①)
0, 35, 97, 76, (122) {total: 330} {consumed: 6} glider(d4)(ph3)(♗⬀①)
4, 128, 54, 82, (67) {total: 331} {consumed: 6} glider(d18)(ph1)(♗⬀①)
6, 54, 62, 51, (166) {total: 333} {consumed: 8} glider(d-12)(ph3)(♗⬀①)
1, 77, 53, 117, (87) {total: 334} {consumed: 10} glider(d-12)(ph3)(♗⬀①)
0, 123, 74, 41, (97) {total: 335} {consumed: 5} glider(d18)(ph3)(♗⬀①)
0, 80, 53, 117, (87) {total: 337} {consumed: 9} glider(d0)(ph1)(♗⬀①)
0, 43, 97, 76, (122) {total: 338} {consumed: 6} glider(d6)(ph3)(♗⬀①)
4, 127, 74, 41, (97) {total: 339} {consumed: 5} glider(d20)(ph3)(♗⬀①)
7, 63, 95, 115, (67) {total: 340} {consumed: 8} glider(d12)(ph3)(♗⬀①)
1, 85, 53, 117, (87) {total: 342} {consumed: 10} glider(d-10)(ph3)(♗⬀①)
1, 56, 98, 67, (122) {total: 343} {consumed: 7} glider(d-4)(ph1)(♗⬀①)
5, 83, 68, 46, (146) {total: 343} {consumed: 8} glider(d-2)(ph1)(♗⬀①)
0, 88, 53, 117, (87) {total: 345} {consumed: 9} glider(d2)(ph1)(♗⬀①)
0, 51, 97, 76, (122) {total: 346} {consumed: 6} glider(d8)(ph3)(♗⬀①)
2, 102, 43, 114, (90) {total: 349} {consumed: 7} glider(d6)(ph3)(♗⬀①)
1, 93, 53, 117, (87) {total: 350} {consumed: 10} glider(d-8)(ph3)(♗⬀①)
1, 56, 97, 76, (122) {total: 351} {consumed: 7} glider(d-2)(ph1)(♗⬀①)
0, 96, 53, 117, (87) {total: 353} {consumed: 9} glider(d4)(ph1)(♗⬀①)
0, 59, 97, 76, (122) {total: 354} {consumed: 6} glider(d10)(ph3)(♗⬀①)
2, 99, 82, 110, (67) {total: 358} {consumed: 8} glider(d4)(ph3)(♗⬀①)
1, 101, 53, 117, (87) {total: 358} {consumed: 10} glider(d-6)(ph3)(♗⬀①)
1, 64, 97, 76, (122) {total: 359} {consumed: 7} glider(d0)(ph1)(♗⬀①)
